Original POI ID,Original Avg Pre Pre Open,Original Avg Pre Open,Original Avg Post Open,POI ID,Zip_Code,Group,Station,Open Date,City,OriginalNewCity,Similar New City,Avg Pre Pre Open,Avg Pre Open,Avg Post Open,Original Station Name,Original City,6 Months Before Original POI Open Date,3 Months Before Original POI Open Date,3 Months After Original POI Open Date,size_group,DiD1,DiD2,DiD,DiD3,DiD4,DiD5,difference,orig_latitude,orig_longitude,sim_latitude,sim_longitude,ev_latitude,ev_longitude,ev_level2,ev_dcfc,ev_type,Original POI Open Date,Original POI Open Year,Distance(m),distance_group
venue:aee02a68618c6a864e5fda30,1745.413043,1638.945652,1725.868132,venue:f68c3ea870d6dcf138dbc578,10475,Apparel,Baychester Retail III LLC,2/4/2022,Bronx,Bronx,Bronx,2046.630435,1979.423913,2430.769231,Mall at Bay Plaza - Tesla Supercharger,Bronx,3/30/2019,6/30/2019,12/30/2019,1000-2500,86.92247969,451.3453177,-364.422838,-106.4673913,-67.20652174,-39.26086957,39.26086957,40.86475372,-73.82804108,40.86874771,-73.82914734,40.863231,-73.828839,0,12,dcfc,9/30/2019,2019,181.98954136971508,100-200m
venue:b886e727ee41e117f7a2a34d,2084.315217,1734.48913,2685.384615,venue:f68c3ea870d6dcf138dbc578,10475,Apparel,Baychester Retail III LLC,2/4/2022,Bronx,Bronx,Bronx,2046.630435,1979.423913,2430.769231,Mall at Bay Plaza - Tesla Supercharger,Bronx,3/30/2019,6/30/2019,12/30/2019,1000-2500,950.8954849,451.3453177,499.5501672,-349.826087,-67.20652174,-282.6195652,282.6195652,40.86288834,-73.82805634,40.86874771,-73.82914734,40.863231,-73.828839,0,12,dcfc,9/30/2019,2019,76.1714056309868,0-100m
venue:280d777332c37342dae138d2,15.0,10.27173913,10.13043478,venue:1391dbb186a5427b7b5d6c06,10469,Apparel,Popeyes,1/14/2023,Bronx,Bronx,Bronx,9.247191011,3.336956522,7.663043478,3050 Corlear Ave - Nagle Parking Inc. - Tesla Destination,Bronx,2/28/2019,5/28/2019,11/28/2019,0-50,-0.141304348,4.326086957,-4.467391304,-4.72826087,-5.910234489,1.18197362,1.18197362,40.87899399,-73.90538025,40.87647629,-73.84890747,40.880142,-73.907385,4,0,level2,8/28/2019,2019,211.6751790667039,200-300m
venue:81c4527a932c30002cf37305,46.33695652,48.2826087,41.68131868,venue:b9c1f667de33b9b05fb0e1e3,10469,Beauty & Spa,Popeyes,1/14/2023,Bronx,Bronx,Bronx,39.27173913,45.73913043,54.13186813,Riverdale Fast Parking,Bronx,3/15/2022,6/15/2022,12/15/2022,0-50,-6.601290014,8.392737697,-14.99402771,1.945652174,6.467391304,-4.52173913,4.52173913,40.87980652,-73.90389252,40.87764359,-73.84548187,40.879501,-73.903603,8,0,level2,9/15/2022,2022,41.79296105933416,0-100m
venue:5ba8b5e4f5ec44796e7de4ba,16.54347826,23.89130435,25.64130435,venue:62139fec27f9195ec6cdbe4f,10462,Beauty & Spa,2244 Westchester Ave,12/26/2023,Bronx,Bronx,Bronx,22.77173913,23.7826087,15.70652174,3500 Dekalb Ave,Bronx,5/25/2021,8/25/2021,2/25/2022,0-50,1.75,-8.076086957,9.826086957,7.347826087,1.010869565,6.336956522,6.336956522,40.8809166,-73.88383484,40.83390808,-73.85250092,40.882337,-73.880265,2,0,level2,11/25/2021,2021,339.7256035480403,300-400m
venue:4fda7ff8875d3755c4560ac1,22.89130435,32.56521739,12.43478261,venue:62139fec27f9195ec6cdbe4f,10462,Beauty & Spa,2244 Westchester Ave,12/26/2023,Bronx,Bronx,Bronx,22.77173913,23.7826087,15.70652174,3500 Dekalb Ave,Bronx,5/25/2021,8/25/2021,2/25/2022,0-50,-20.13043478,-8.076086957,-12.05434783,9.673913043,1.010869565,8.663043478,8.663043478,40.88037491,-73.88317108,40.83390808,-73.85250092,40.882337,-73.880265,2,0,level2,11/25/2021,2021,327.8319805936127,300-400m
venue:646b5e81eb86a60d0849c317,26.08695652,30.2826087,45.26966292,venue:9661622da8cfacbeb41b519c,10462,Beauty & Spa,2244 Westchester Ave,12/26/2023,Bronx,Bronx,Bronx,32.55434783,38.56521739,35.40449438,Baychester Retail III LLC,Bronx,8/4/2021,11/4/2021,5/4/2022,0-50,14.98705423,-3.160723009,18.14777723,4.195652174,6.010869565,-1.815217391,1.815217391,40.86978531,-73.82949066,40.83403778,-73.85132599,40.869205,-73.831633,2,0,level2,2/4/2022,2022,191.75469172420753,100-200m
venue:62bf0659062ddf11c75266d8,268.2717391,186.75,210.752809,venue:640985cdd948953d22b73181,10463,Buildings and Entertainment Centers,Riverdale Fast Parking,9/15/2022,Bronx,Bronx,Bronx,184.4891304,168.7934783,154.1235955,Baychester Retail III LLC,Bronx,8/4/2021,11/4/2021,5/4/2022,100-200,24.00280899,-14.66988276,38.67269174,-81.52173913,-15.69565217,-65.82608696,65.82608696,40.8677597,-73.82827759,40.87992859,-73.90341949,40.869205,-73.831633,2,0,level2,2/4/2022,2022,325.23164868997816,300-400m
venue:cec01ce193cec2b168ce6839,567.7065217,452.8695652,513.6593407,venue:1e5dee96a96d02aac11f64a3,10475,Dining,Baychester Retail III LLC,2/4/2022,Bronx,Bronx,Bronx,485.6630435,444.6847826,468.5274725,Mall at Bay Plaza - Tesla Supercharger,Bronx,3/30/2019,6/30/2019,12/30/2019,200-500,60.78977544,23.84268992,36.94708552,-114.8369565,-40.97826087,-73.85869565,73.85869565,40.86441803,-73.82834625,40.86968994,-73.829422,40.863231,-73.828839,0,12,dcfc,9/30/2019,2019,138.21227830969568,100-200m
venue:70610ed99673d0c2d1be5565,723.0543478,560.5978261,631.0879121,venue:96e7d9b5f61947facabd424a,10462,Dining,2244 Westchester Ave,12/26/2023,Bronx,Bronx,Bronx,1078.391304,994.6521739,935.3516484,Riverdale Fast Parking,Bronx,3/15/2022,6/15/2022,12/15/2022,500-1000,70.490086,-59.30052556,129.7906116,-162.4565217,-83.73913043,-78.7173913,78.7173913,40.8793602,-73.90509033,40.83381653,-73.85296631,40.879501,-73.903603,8,0,level2,9/15/2022,2022,126.33587879672461,100-200m
