apiId,station_name,evcs_coordinates,open_date,avg_pre_open,std_pre_open,avg_post_open,std_post_open,relative_change,Zscore,ev_lat,ev_lng,poi_lng,poi_lat,poi_name,category,group,subCategory,poi_zipcode,ev_zipcode,city,distance_m,distance_group,real city
complex:6204c41c13b10a002b1d82b7,Brooklyn Museum - Tesla Supercharger,"(40.669936, -73.963069)",3/1/2019,1225.786301,2061.426877,1162.330601,1708.340375,-0.051767343,-0.030782416,40.669936,-73.963069,-73.96400452,40.66814041,Brooklyn Botanic Garden,Nature & Landmarks,Leisure,Botanical Garden,11225,11225,Brooklyn,214.6853083,200-300m,Brooklyn
complex:666053b8c3e071747db15a5c,Brooklyn Museum - Tesla Supercharger,"(40.669936, -73.963069)",3/1/2019,1337.238356,2160.729144,1448.221311,1935.056641,0.082994146,0.051363659,40.669936,-73.963069,-73.9641571,40.66827011,Brooklyn Botanical Park,Nature & Landmarks,Leisure,Park,11238,11225,Brooklyn,206.7246044,200-300m,Brooklyn
complex:5b3879021b5c0a6fbcdd4448,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,549.3260274,368.0013893,531.4876712,304.8814632,-0.032473168,-0.048473611,40.7185092,-73.9648207,-73.96244049,40.72014618,"CVS 27 N 6th St, Brooklyn, NY ",Drugstores & Pharmacies,Medical & Health,Drugstore,11249,11249,Brooklyn,270.8709863,200-300m,Brooklyn
complex:8a80d89c01df65c7cec0969b,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,570.9808219,494.6842451,569.4219178,486.200042,-0.002730221,-0.003151311,40.7185092,-73.9648207,-73.96157837,40.7168541,103-119 N 3Rd Street,Strip/Convenience,Shopping Centers,Strip/Convenience,11249,11249,Brooklyn,329.4544563,300-350m,Brooklyn
venue:19407fcd2e8078349075f286,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,544.0027397,514.321053,515.8712329,460.6427215,-0.051712068,-0.054696394,40.7185092,-73.9648207,-73.96141815,40.71662521,Radegast Hall & Biergarten,Bars & Pubs,Leisure,Beer Garden,11249,11249,Brooklyn,355.1314747,300-350m,Brooklyn
complex:5fb4c80a7a6c0c2b03ea31a7,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,124.3506849,183.300788,128.3972603,161.0388442,0.032541641,0.022076148,40.7185092,-73.9648207,-73.96178436,40.71915436,Music Hall of Williamsburg,Theaters & Music Venues,Leisure,Music Venue,11211,11249,Brooklyn,265.758796,200-300m,Brooklyn
venue:6dad0e202dcc05209a9484ea,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,169.109589,172.4115286,167.4630137,143.142486,-0.009736736,-0.009550262,40.7185092,-73.9648207,-73.96474457,40.71563721,Aurora Brooklyn,Restaurants,Dining,Italian Restaurant,11249,11249,Brooklyn,319.4151654,300-350m,Brooklyn
venue:60180a8be758a5072f12c1b9,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,136.5452055,141.6892252,138.7479452,121.6630504,0.016131945,0.015546275,40.7185092,-73.9648207,-73.96163177,40.71636581,The Levee,Bars & Pubs,Leisure,Bar,11249,11249,Brooklyn,359.2134966,300-350m,Brooklyn
venue:d02757fe535d7a7c280f55d4,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,150.5917808,333.129377,148.6136986,310.7875168,-0.013135393,-0.00593788,40.7185092,-73.9648207,-73.96133423,40.71979904,Artists & Fleas Williamsburg,Attractions,Leisure,Flea Market,11249,11249,Brooklyn,326.9630436,300-350m,Brooklyn
venue:ba94fa86e420fcf070dfaf9b,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,104.8438356,157.1503279,115.7068493,131.3786955,0.103611372,0.069124983,40.7185092,-73.9648207,-73.96276093,40.71775055,J.Crew,Clothing,Apparel,Clothing Store,11249,11249,Brooklyn,193.0044727,100-200m,Brooklyn
venue:89bbbcbeab02a57030f5ae53,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,100.5369863,127.116421,80.03835616,85.03770113,-0.203891432,-0.161258711,40.7185092,-73.9648207,-73.96573639,40.71627808,Pilgrim Surf + Supply,Clothing,Apparel,Clothing Store,11249,11249,Brooklyn,259.8152364,200-300m,Brooklyn
venue:2fcf5bd6dc195528786eb99b,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,13.10136986,41.60321632,24.2630137,46.02462166,0.851944793,0.268288003,40.7185092,-73.9648207,-73.96543884,40.71656418,Ume,Restaurants,Dining,Sushi Restaurant,11249,11249,Brooklyn,222.4622349,200-300m,Brooklyn
venue:650d6e7383f4a14e79cd9b57,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,16.2109589,55.46909733,12.71506849,31.64406994,-0.215649823,-0.063024109,40.7185092,-73.9648207,-73.96170044,40.71684647,Hanky Panky,Clothing,Apparel,Clothing Store,11249,11249,Brooklyn,321.4601239,300-350m,Brooklyn
venue:7dfd8713a71bd4a70406b0f1,ProPark 184 Kent Ave - Tesla Destination,"(40.7185092, -73.9648207)",1/18/2019,32.07123288,64.5328979,28.41917808,53.68781518,-0.113873227,-0.05659214,40.7185092,-73.9648207,-73.96138763,40.71713257,Shobha Brooklyn,Beauty & Spa,Beauty & Spa,Salon / Barbershop,11249,11249,Brooklyn,327.3303606,300-350m,Brooklyn
